2024-03-16 08:00:24 startup archives unpack
2024-03-16 08:00:25 install readline-common:all <none> 8.1-1
2024-03-16 08:00:25 status half-installed readline-common:all 8.1-1
2024-03-16 08:00:25 status unpacked readline-common:all 8.1-1
2024-03-16 08:00:25 install libreadline8:amd64 <none> 8.1-1
2024-03-16 08:00:25 status triggers-pending libc-bin:amd64 2.31-13+deb11u8
2024-03-16 08:00:25 status half-installed libreadline8:amd64 8.1-1
2024-03-16 08:00:25 status unpacked libreadline8:amd64 8.1-1
2024-03-16 08:00:25 install openssl:amd64 <none> 1.1.1w-0+deb11u1
2024-03-16 08:00:25 status half-installed openssl:amd64 1.1.1w-0+deb11u1
2024-03-16 08:00:25 status unpacked openssl:amd64 1.1.1w-0+deb11u1
2024-03-16 08:00:25 install ca-certificates:all <none> 20210119
2024-03-16 08:00:25 status half-installed ca-certificates:all 20210119
2024-03-16 08:00:25 status unpacked ca-certificates:all 20210119
2024-03-16 08:00:25 install libpsl5:amd64 <none> 0.21.0-1.2
2024-03-16 08:00:25 status half-installed libpsl5:amd64 0.21.0-1.2
2024-03-16 08:00:25 status unpacked libpsl5:amd64 0.21.0-1.2
2024-03-16 08:00:25 install wget:amd64 <none> 1.21-1+deb11u1
2024-03-16 08:00:25 status half-installed wget:amd64 1.21-1+deb11u1
2024-03-16 08:00:25 status unpacked wget:amd64 1.21-1+deb11u1
2024-03-16 08:00:25 install apt-transport-https:all <none> 2.2.4
2024-03-16 08:00:25 status half-installed apt-transport-https:all 2.2.4
2024-03-16 08:00:25 status unpacked apt-transport-https:all 2.2.4
2024-03-16 08:00:25 install libassuan0:amd64 <none> 2.5.3-7.1
2024-03-16 08:00:25 status half-installed libassuan0:amd64 2.5.3-7.1
2024-03-16 08:00:25 status unpacked libassuan0:amd64 2.5.3-7.1
2024-03-16 08:00:25 install gpgconf:amd64 <none> 2.2.27-2+deb11u2
2024-03-16 08:00:25 status half-installed gpgconf:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:25 status unpacked gpgconf:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:25 install libksba8:amd64 <none> 1.5.0-3+deb11u2
2024-03-16 08:00:25 status half-installed libksba8:amd64 1.5.0-3+deb11u2
2024-03-16 08:00:25 status unpacked libksba8:amd64 1.5.0-3+deb11u2
2024-03-16 08:00:25 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:25 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:25 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:25 install libsasl2-2:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:25 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:25 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:25 install libldap-2.4-2:amd64 <none> 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:25 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:25 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:25 install libnpth0:amd64 <none> 1.6-3
2024-03-16 08:00:25 status half-installed libnpth0:amd64 1.6-3
2024-03-16 08:00:25 status unpacked libnpth0:amd64 1.6-3
2024-03-16 08:00:25 install dirmngr:amd64 <none> 2.2.27-2+deb11u2
2024-03-16 08:00:25 status half-installed dirmngr:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:25 status unpacked dirmngr:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:25 install gnupg-l10n:all <none> 2.2.27-2+deb11u2
2024-03-16 08:00:25 status half-installed gnupg-l10n:all 2.2.27-2+deb11u2
2024-03-16 08:00:26 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2024-03-16 08:00:26 install gnupg-utils:amd64 <none> 2.2.27-2+deb11u2
2024-03-16 08:00:26 status half-installed gnupg-utils:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:26 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:26 install libsqlite3-0:amd64 <none> 3.34.1-3
2024-03-16 08:00:26 status half-installed libsqlite3-0:amd64 3.34.1-3
2024-03-16 08:00:26 status unpacked libsqlite3-0:amd64 3.34.1-3
2024-03-16 08:00:26 install gpg:amd64 <none> 2.2.27-2+deb11u2
2024-03-16 08:00:26 status half-installed gpg:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:26 status unpacked gpg:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:26 install libncursesw6:amd64 <none> 6.2+20201114-2+deb11u2
2024-03-16 08:00:26 status half-installed libncursesw6:amd64 6.2+20201114-2+deb11u2
2024-03-16 08:00:26 status unpacked libncursesw6:amd64 6.2+20201114-2+deb11u2
2024-03-16 08:00:26 install pinentry-curses:amd64 <none> 1.1.0-4
2024-03-16 08:00:26 status half-installed pinentry-curses:amd64 1.1.0-4
2024-03-16 08:00:26 status unpacked pinentry-curses:amd64 1.1.0-4
2024-03-16 08:00:26 install gpg-agent:amd64 <none> 2.2.27-2+deb11u2
2024-03-16 08:00:26 status half-installed gpg-agent:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:26 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:26 install gpg-wks-client:amd64 <none> 2.2.27-2+deb11u2
2024-03-16 08:00:26 status half-installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:26 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:26 install gpg-wks-server:amd64 <none> 2.2.27-2+deb11u2
2024-03-16 08:00:26 status half-installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:26 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:26 install gpgsm:amd64 <none> 2.2.27-2+deb11u2
2024-03-16 08:00:26 status half-installed gpgsm:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:26 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:26 install gnupg:all <none> 2.2.27-2+deb11u2
2024-03-16 08:00:26 status half-installed gnupg:all 2.2.27-2+deb11u2
2024-03-16 08:00:26 status unpacked gnupg:all 2.2.27-2+deb11u2
2024-03-16 08:00:26 install libgpm2:amd64 <none> 1.20.7-8
2024-03-16 08:00:26 status half-installed libgpm2:amd64 1.20.7-8
2024-03-16 08:00:26 status unpacked libgpm2:amd64 1.20.7-8
2024-03-16 08:00:26 install libldap-common:all <none> 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:26 status half-installed libldap-common:all 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:26 status unpacked libldap-common:all 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:26 install libsasl2-modules:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 status half-installed libsasl2-modules:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 status unpacked libsasl2-modules:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 install publicsuffix:all <none> 20220811.1734-0+deb11u1
2024-03-16 08:00:26 status half-installed publicsuffix:all 20220811.1734-0+deb11u1
2024-03-16 08:00:26 status unpacked publicsuffix:all 20220811.1734-0+deb11u1
2024-03-16 08:00:26 startup packages configure
2024-03-16 08:00:26 configure libksba8:amd64 1.5.0-3+deb11u2 <none>
2024-03-16 08:00:26 status unpacked libksba8:amd64 1.5.0-3+deb11u2
2024-03-16 08:00:26 status half-configured libksba8:amd64 1.5.0-3+deb11u2
2024-03-16 08:00:26 status installed libksba8:amd64 1.5.0-3+deb11u2
2024-03-16 08:00:26 configure libpsl5:amd64 0.21.0-1.2 <none>
2024-03-16 08:00:26 status unpacked libpsl5:amd64 0.21.0-1.2
2024-03-16 08:00:26 status half-configured libpsl5:amd64 0.21.0-1.2
2024-03-16 08:00:26 status installed libpsl5:amd64 0.21.0-1.2
2024-03-16 08:00:26 configure libgpm2:amd64 1.20.7-8 <none>
2024-03-16 08:00:26 status unpacked libgpm2:amd64 1.20.7-8
2024-03-16 08:00:26 status half-configured libgpm2:amd64 1.20.7-8
2024-03-16 08:00:26 status installed libgpm2:amd64 1.20.7-8
2024-03-16 08:00:26 configure wget:amd64 1.21-1+deb11u1 <none>
2024-03-16 08:00:26 status unpacked wget:amd64 1.21-1+deb11u1
2024-03-16 08:00:26 status half-configured wget:amd64 1.21-1+deb11u1
2024-03-16 08:00:26 status installed wget:amd64 1.21-1+deb11u1
2024-03-16 08:00:26 configure apt-transport-https:all 2.2.4 <none>
2024-03-16 08:00:26 status unpacked apt-transport-https:all 2.2.4
2024-03-16 08:00:26 status half-configured apt-transport-https:all 2.2.4
2024-03-16 08:00:26 status installed apt-transport-https:all 2.2.4
2024-03-16 08:00:26 configure libsqlite3-0:amd64 3.34.1-3 <none>
2024-03-16 08:00:26 status unpacked libsqlite3-0:amd64 3.34.1-3
2024-03-16 08:00:26 status half-configured libsqlite3-0:amd64 3.34.1-3
2024-03-16 08:00:26 status installed libsqlite3-0:amd64 3.34.1-3
2024-03-16 08:00:26 configure libsasl2-modules:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2024-03-16 08:00:26 status unpacked libsasl2-modules:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 status half-configured libsasl2-modules:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 status installed libsasl2-modules:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 configure libnpth0:amd64 1.6-3 <none>
2024-03-16 08:00:26 status unpacked libnpth0:amd64 1.6-3
2024-03-16 08:00:26 status half-configured libnpth0:amd64 1.6-3
2024-03-16 08:00:26 status installed libnpth0:amd64 1.6-3
2024-03-16 08:00:26 configure libassuan0:amd64 2.5.3-7.1 <none>
2024-03-16 08:00:26 status unpacked libassuan0:amd64 2.5.3-7.1
2024-03-16 08:00:26 status half-configured libassuan0:amd64 2.5.3-7.1
2024-03-16 08:00:26 status installed libassuan0:amd64 2.5.3-7.1
2024-03-16 08:00:26 configure libldap-common:all 2.4.57+dfsg-3+deb11u1 <none>
2024-03-16 08:00:26 status unpacked libldap-common:all 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:26 status half-configured libldap-common:all 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:26 status installed libldap-common:all 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:26 configure libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2024-03-16 08:00:26 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
